Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
116,28923720.7745262,28037274.6646575,78185744.036936,112019311.322804,18669885.2204673,502122.848974161,282596.360850104,145324.142920683
117,24697983.3488402,23818198.4777239,65328398.6940287,112751777.899001,0,502983.368848105,277908.470198243,141275.760099951
118,29367698.0053456,28452944.1913311,78979975.2897207,114165755.536772,19027625.9227953,535668.528513992,279160.262956612,142750.032205681
119,25312706.78715,24420652.5661261,67281632.7702783,115137257.303848,0,510258.582878482,280436.570953338,144798.667417287
120,30097433.9958059,29175563.6446399,81421505.1952609,116482895.95603,19413815.9926716,531169.780863271,288223.603863852,146395.666341323
121,25738003.5672232,24859055.2632857,68334768.0621165,117407001.604768,0,488754.843218359,285800.739073451,149132.459493875
122,30436321.8532396,29556878.9361154,82254504.236846,118280137.747794,19713356.2912989,494356.103203288,281219.265297565,148382.212319104
123,26259977.0839146,25375732.0256308,70137599.4606712,119226635.459885,0,497329.793586682,281602.567260353,150446.710623985
124,31103530.8375728,30198256.6717067,84544482.8507775,120192587.918781,20032097.9864636,510032.658901629,289531.86268619,151013.77754033
125,26566544.3598694,25638142.8251098,70670706.9640567,120786792.998459,0,524317.915842204,294716.653631518,156238.521836895
126,31392677.2259319,30450904.6712624,84891425.54108,121635411.948382,20272568.6580636,532172.11548446,297011.651681206,160841.125005346
127,27199507.5563456,26263590.0019296,72609136.9543017,123398775.978035,0,536509.947214655,291994.119696908,153447.839292192
128,32247419.2315013,31307063.7798324,87682774.6765107,124487663.269773,20747943.8782955,554432.980474387,282444.730979703,147825.343164042
129,27562234.1156874,26665432.2301457,73527680.0173626,125541247.385075,0,504883.547680801,286013.779827564,151292.225761827
130,32588670.2445883,31668403.2207923,88493839.8031941,126237289.200091,21039548.2000152,528339.092966692,286299.447549576,150897.833256652
131,28200138.973676,27257358.8829342,75623310.1646966,127596131.113217,0,549764.518692103,287543.274035378,150674.711448978
132,33422741.5532311,32453994.3588767,91273175.2041868,128516923.048355,21419487.1747259,567918.704830139,294504.889594424,151890.857042667
133,28746173.3537758,27777310.7938442,76968547.7183051,130209130.819534,0,565947.549409601,296171.952418731,152490.083004697
134,34116457.3232885,33161140.8800844,93077373.1343532,131631578.245868,21938596.3743113,554179.707791322,293975.803852222,153087.04508649
135,29375042.6012157,28445578.2017717,79330075.3022416,132509369.142791,0,525631.069914825,298204.397586246,150898.474204205
136,34814317.9112986,33914861.1695399,95768610.2087593,133796554.089049,22299425.6815082,496037.196772036,298779.64706159,149485.568464368
137,29645681.7231311,28744493.293751,80011816.8512276,134157925.299786,0,489294.479058554,303341.362987897,155075.124762479
138,34878808.4637927,33935687.289692,95564189.8545132,134252465.229234,22375410.871539,526738.908967943,305991.796160219,157700.669960794
139,30162601.2489137,29251001.8992612,81739492.6693439,135995519.710356,0,513793.378777483,293905.922267505,148428.640867835
