Period,"Gini per capita, all income","Gini per capita, labour income","Gini per capita, labour and pension income","Gini per capita, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income"
92,"0,3853048247","0,4289882205","0,3860242691","0,4290954861","6,7361614195","8,8291178017","7,0067984079","8,9811123153","0,2037125009","0,1944317423","0,2088426732","0,1877971635","0,0612820446","0,0683270452","0,0499836263","0,0833950298"
93,"0,3860927987","0,4300530723","0,3880495005","0,4285496736","6,6334830873","9,4911202375","7,1196899947","9,246594484","0,2014295319","0,1975215759","0,2081614065","0,1887413112","0,056343781","0,0563634625","0,0427310118","0,0744681757"
94,"0,382746321","0,4304113113","0,3833268337","0,4316737213","6,7226146011","10,1289297679","6,8084207345","9,8347985398","0,199636817","0,193964197","0,2048671144","0,1870349089","0,0559607717","0,0589720569","0,0436780033","0,0756124248"
95,"0,3788239778","0,4251844765","0,3816320492","0,424047559","6,2890915818","9,508272073","6,5205948961","9,0161832371","0,2005848082","0,188638007","0,2052798095","0,182577821","0,0563026266","0,0603569349","0,0456086867","0,0749029451"
96,"0,3835862237","0,4256318227","0,3849521009","0,4250806854","7,0145319828","9,9579075536","7,0820090672","8,9113240203","0,2003070866","0,1875567818","0,2049627272","0,1815438347","0,0523440494","0,0552237462","0,0408666151","0,0709610881"
97,"0,3779100329","0,4261974024","0,3811911557","0,4221042261","6,0564665725","9,4526519535","6,2152750838","8,6737016612","0,201020904","0,196944663","0,2068870364","0,1891024315","0,0627120629","0,0662869039","0,0488018855","0,0851253618"
98,"0,3761773009","0,4180667049","0,3765869771","0,4192657184","6,265840002","8,7647455646","6,3122867797","8,8182160949","0,2007846708","0,1931151495","0,2060838847","0,1860956328","0,0616818791","0,0660782814","0,0474826325","0,0854731211"
99,"0,377561126","0,4243998834","0,3761782208","0,4265448947","6,3400176511","8,8721094982","6,3076199703","8,4260655528","0,2041343077","0,1951935384","0,2092553172","0,1884109157","0,0601642201","0,0645224492","0,0470516332","0,0825323413"
100,"0,377987084","0,4213455062","0,3767193956","0,4243345431","6,3987679639","9,1032559529","6,3180046938","8,8750156029","0,2051707575","0,1997994477","0,2102659783","0,1928759505","0,0576032583","0,0611659377","0,0442778803","0,0796354703"
101,"0,3648072581","0,411687436","0,3652279674","0,4114056756","5,8288319839","8,5810372304","5,8773163479","7,9513024998","0,1942800175","0,1865412762","0,1996646908","0,1793320918","0,0688301696","0,0742181526","0,052935766","0,0961709173"
102,"0,3659464655","0,4097814698","0,364058784","0,4162781018","6,3585317457","8,955916473","6,1740444754","9,320255727","0,1972643418","0,1860943372","0,202095324","0,1796717299","0,0644730543","0,0677256907","0,0494675085","0,0887616367"
103,"0,3641610717","0,4058024085","0,3619156603","0,4115699377","6,1258369132","8,8209741726","5,918487527","9,4242537313","0,1959335206","0,187131293","0,2003551884","0,1810864336","0,0623401004","0,0660715177","0,0490551403","0,0849671194"
104,"0,365227996","0,4125175684","0,3667568502","0,4161249517","6,2908846096","8,7994982795","6,0284365447","8,5959180524","0,1964330901","0,1872359591","0,2009621484","0,1810855309","0,0654878732","0,0702123099","0,0521952098","0,0889935506"
105,"0,3648620401","0,4122220601","0,3644688903","0,4145866935","5,9612262484","8,6222765319","5,8289040813","8,5604090656","0,2009480364","0,1959802134","0,20655222","0,1881643907","0,0637200161","0,0656824625","0,0476673467","0,0885579405"
106,"0,3703639712","0,4183766472","0,3651142623","0,428293045","6,1906545455","8,7072885905","5,8680234594","10,1736248825","0,1998558491","0,1882342381","0,2039748805","0,1826642252","0,0501173516","0,0573653447","0,0403711959","0,0711418335"
107,"0,3690399311","0,4211561423","0,3687053647","0,4239322912","6,5830605907","8,9995511931","6,3464121549","8,9304275497","0,207626808","0,2007392507","0,2123783185","0,1940540485","0,0625615376","0,0702726574","0,0485526454","0,0904012098"
108,"0,3710045861","0,4232256512","0,3691843827","0,4287096075","6,7724902339","8,8762414849","6,3423024111","8,5805441993","0,2055350094","0,1968771344","0,2102104199","0,1902908604","0,0590854206","0,0663498475","0,0452064625","0,0865194757"
109,"0,3618612984","0,4115664164","0,3637814738","0,4113381231","6,1869290535","8,7466623384","6,3706388517","8,5286081382","0,2026864292","0,1948123565","0,2081209935","0,1872623432","0,0655904576","0,0716167032","0,05038418","0,0933605552"
110,"0,3670603462","0,4196362255","0,3679525554","0,4193603098","6,376795441","9,403835831","6,617637866","9,5907745106","0,2140613422","0,20658004","0,2185845858","0,2001742493","0,063981378","0,072235719","0,0512887991","0,0906045014"
111,"0,364917168","0,4124820057","0,3637453316","0,417548909","6,3183226136","8,6596391815","6,202536649","8,7934984177","0,2087062941","0,2011595555","0,2124561892","0,1958475317","0,0611141541","0,0706187198","0,0498078059","0,0869833421"
112,"0,3628096723","0,4071852661","0,3623497187","0,4094009903","5,8817353809","8,5924514509","5,5916355398","8,7100373636","0,2155217366","0,2061846487","0,2194017593","0,2006702529","0,0663348989","0,077503673","0,0541492149","0,0953070906"
