Period,Gini sedlac. all income,Gini sedlac. labour income,Gini sedlac. labour and pension income,Gini sedlac. labour and family benefits income,Decile ratio. all income,Decile ratio. labour income,Decile ratio. labour and pension income,Decile ratio. labour and familiy benefits income,Top 10%. share of all income,Top 10%. share of labour income,Top 10%. share of labour and pension income,Top 10%. share of labour and familiy benefits income,Bottom 10%. share of all income,Bottom 10%. share of labour income,Bottom 10%. share of labour and pension income,Bottom 10%. share of labour and familiy benefits income
91,0.388292353230108,0.460509967039151,0.400665003013933,0.443566808198741,6.86181326407042,11.2434725807179,8.19646634947324,9.60162242469491,0.232849248414162,0.269680573769142,0.241450107320971,0.255930855920591,0.037659329347842,0.036101250408495,0.028921233306601,0.048235641894466
92,0.387491160297271,0.461342773195118,0.40118701142144,0.44284997371666,6.69824332626079,10.5653610930487,7.96379982224798,9.24431774496801,0.23435849636144,0.269098015320392,0.24353451638743,0.25454135847965,0.040909930487905,0.039796091608364,0.031122992521015,0.053371289439536
93,0.389419385000739,0.471894242070191,0.406686341047157,0.447543055154934,6.61446787955862,10.7067482438138,8.14574883637213,9.09785155965052,0.235710917129522,0.281535707190521,0.247588874471213,0.262179255221046,0.040989632185565,0.040166866265162,0.031212115679059,0.053555920624996
94,0.391341715847948,0.471589794334613,0.40510576801915,0.451931173532614,6.89957465696012,11.3717797323625,8.00358491677144,9.8418184596853,0.242933055781497,0.287022544382275,0.252476216185117,0.271303003006386,0.039907459304325,0.040764965159864,0.030725008330616,0.053517338746443
95,0.384651308737682,0.458709630735084,0.397609508794411,0.441019926933674,6.64385688212467,10.3825884311361,7.90607425803213,9.24096716199263,0.231363219676665,0.273934089661271,0.240756540674069,0.258379307136343,0.042575222748369,0.04279472042206,0.032308656247829,0.057137347882573
96,0.383444250923302,0.458293410068883,0.395552287852314,0.441139893142968,6.73326017193984,10.582624107878,7.90010442032267,9.5673986463328,0.226902691504959,0.262460781399942,0.235917031097974,0.247834070755479,0.039972727110547,0.041946235820941,0.03152960105804,0.053682306250617
97,0.381469730991526,0.46634326038834,0.399340658483835,0.440093340554174,6.22315574647921,10.827568133244,8.00715856729248,9.12041024278609,0.225399924733184,0.263247753891562,0.236742787123346,0.244943159445889,0.041807732620101,0.042476897459043,0.03185912993705,0.056179205438714
98,0.38617073686198,0.465604561507677,0.399142662908146,0.447282823213437,6.95286206092159,11.2130038668335,8.02148269292816,9.65697171282813,0.235450498331566,0.273022000213129,0.244593729116842,0.258063108486804,0.042001853455192,0.044557519518888,0.032574381344014,0.057721541747758
99,0.384522679325506,0.461266071678533,0.395437774535001,0.446341194812995,6.70430336112767,10.6179180404386,7.65879575882351,9.15797030094918,0.224990884685926,0.259925751088033,0.233062240257278,0.246723448827839,0.042466024552714,0.042771677385371,0.032584710321333,0.056749768857392
100,0.385960286968476,0.46628144311959,0.398413423062166,0.447535663949602,6.77610656991624,11.4655247684541,7.68411843634271,9.88430276687229,0.228954140605422,0.268130038577548,0.236799149573489,0.25511670237985,0.042393073768689,0.041792704035746,0.032060437235871,0.056459671788529
101,0.386987875818907,0.469388288313,0.402204088460824,0.446757117528328,6.76427888974669,11.7656831599425,7.64881804581599,9.66982059601791,0.232841923598428,0.275491362942054,0.242443741931467,0.259583371687594,0.041744177632285,0.039844813352992,0.031094249119721,0.054845144625615
102,0.386827848931056,0.461834702408256,0.398086637421572,0.445189436609769,6.89957465696012,11.4336309877215,7.76497295667271,9.96755105062451,0.227113705122355,0.254013394920162,0.234725268168291,0.241831446621677,0.041356923572652,0.040505534096029,0.031154877594478,0.055129171766266
103,0.38693318051177,0.45956564753943,0.396778783411324,0.445088245123701,6.84389429840641,10.6948540948922,7.6202308659022,9.71681226139472,0.22392667627198,0.252340098193862,0.231051757426309,0.240788117955645,0.038012592868449,0.039191953601197,0.029155382739924,0.051881508130204
104,0.392928398114414,0.47064803998545,0.402376018160947,0.456447456817607,7.05473754677979,11.9091279496207,7.88903392961014,10.3512830793136,0.224641595136623,0.251883708839299,0.231971790179328,0.240024332571687,0.036344265145994,0.0400858133895,0.029258520486605,0.050133945389841
105,0.383709471556311,0.460207643813254,0.398325111918875,0.438161600246795,6.79583471162807,11.1471837411682,7.95290592417834,9.17426058635528,0.222788397381314,0.257595022072204,0.232180883156292,0.242128157503852,0.044050210365633,0.046072991618187,0.034000389359446,0.060260389920783
106,0.382627809956672,0.451957177542536,0.392059595669597,0.437476927082531,6.82669806806645,10.7540623500579,7.43366709125117,9.3685413862443,0.22462508003486,0.250932796303766,0.231364972734577,0.240038240407932,0.042527638062388,0.043602478583831,0.032426252192964,0.058175299629343
107,0.389934339281345,0.458726113179303,0.399180824914183,0.447220548698321,7.09609789605835,10.6350302273996,7.66675145794857,9.60829945175108,0.22888161447435,0.25738255918509,0.235510139411712,0.246648161988448,0.039604736300095,0.038065123514485,0.029954153015034,0.052029098394727
108,0.392216856902101,0.465829684276482,0.400913293283809,0.454993124771255,7.12431254913176,11.1663878129799,7.80222559695781,10.485221869625,0.239947890121097,0.287239497769142,0.246745543810163,0.275495096429612,0.036073483698912,0.037594928383393,0.02978577864129,0.046609927494773
109,0.387252321351048,0.465927552456473,0.399454550768348,0.448637904316809,6.7512647087538,11.4109137056911,7.8148843093216,9.76877731164262,0.226819288335703,0.27370652945521,0.235527203462393,0.25868812993636,0.035550010661856,0.039314725903388,0.030086002406412,0.046920481887629
110,0.393714721658991,0.463199438868177,0.402062470879168,0.452525987920695,7.38464659315962,11.706863307632,8.08816338119385,10.8041008384809,0.235587265586844,0.276991576329741,0.241575496802066,0.266716941102689,0.036378069518046,0.040110557794765,0.030392518805714,0.04871029910048
111,0.398543696812247,0.467162200468951,0.404531496768973,0.458064843485651,7.60456834158198,11.218965250216,8.05883186693642,10.5537325681374,0.24415368126675,0.289846544352139,0.24955287932458,0.280500601789042,0.035286308638663,0.038903051720268,0.029940653902088,0.046583999613672
112,0.391563630459749,0.46013390876698,0.399089458437302,0.450208763128122,6.95472615531223,11.5361399265581,7.5265495321102,10.6303224387599,0.238526746599377,0.274484362167926,0.2440339091144,0.265259223505444,0.036326335217723,0.041427441295794,0.031001258129489,0.049010604937768
113,0.38596180922175,0.445613862252824,0.391901539239356,0.437236912505289,6.74098324679044,10.4115694262072,7.11378968581514,9.95310081680361,0.236602065623387,0.277892227604112,0.242370043494525,0.268138032421218,0.034467298246187,0.037086499793044,0.029707672873442,0.04385238242741
114,0.396324955458434,0.456794409414248,0.400490407238114,0.45269665055218,7.2394700995475,10.8489311811634,7.68087106482856,10.749718927685,0.242047885220986,0.284981891952954,0.246605829253051,0.277237578510526,0.031732173587487,0.036576882846613,0.02752359437749,0.042522442682665
115,0.39288669386024,0.456177189180472,0.398234572726319,0.448769374493169,7.02160142975189,11.016832498541,7.59564560643804,10.4664030957687,0.241544488996046,0.283257128689482,0.245567903315965,0.276309354983862,0.035983248947613,0.042060438397837,0.032147325069579,0.047563402408154
116,0.394899267678615,0.457207366189206,0.399451694389136,0.452449053227007,7.17917159839261,11.2501470926394,7.4421215622896,10.4910571483217,0.237154492369312,0.275056446881036,0.241097594898301,0.268318362365252,0.035835556300169,0.040961308302842,0.031539567996591,0.047169539438679
117,0.394436024062104,0.461142834505522,0.399700528231778,0.453945904528711,6.92714555367959,10.8612408082503,7.36539132993398,10.5396901215236,0.242522893788784,0.28894432008945,0.247459042251344,0.280330088064847,0.036054293356604,0.039108184275642,0.030813974024069,0.046698501944463
118,0.390274075761242,0.457103370498093,0.393737494710588,0.454504387868181,6.78634984507053,10.8214142189848,7.04914799333858,10.6605430309641,0.239273156776173,0.282536603095945,0.242550691978574,0.276851876101483,0.034032851158727,0.039862792522954,0.030587954927298,0.044809596776951
119,0.392855595440295,0.456048450270745,0.395187355891826,0.455898013731491,6.55948727927886,10.4745284717188,6.87133893290036,10.4467979766012,0.244756202561078,0.288629065209605,0.247459489035382,0.283928540699083,0.031058563167047,0.038047561113354,0.028803112471662,0.041263103955457
120,0.394671281313107,0.456280350057422,0.397252632348327,0.453628665694422,6.74918020615884,11.0668130586991,7.13686256584947,10.8682016790901,0.251160692039365,0.295789707485389,0.253623006134937,0.291488622609063,0.033298207785967,0.039171419976295,0.029107381238092,0.04530975760607
121,0.389465774686749,0.451298158794826,0.393564404906564,0.44846539015716,6.67171554659198,10.5704498999158,7.05129597836728,10.2895466372007,0.245224056773092,0.283866399954921,0.248903142301166,0.277643122408001,0.03162804951168,0.033438429089362,0.02686125273071,0.040370242557623
122,0.387959611185632,0.444782350610597,0.390854153706625,0.442133919359234,6.77090632168217,10.8834268265842,7.08986758789747,10.7288196618679,0.240739840496692,0.275746355243654,0.243474600295174,0.271193868435318,0.031386864256768,0.035293089205772,0.028799919326737,0.03899180100452
123,0.395524117227166,0.453521337017604,0.39780450011117,0.452387668952532,6.90805126983696,10.8016914071485,7.08510200221282,10.7894624394516,0.248396449626039,0.290965678038023,0.251382850617069,0.285773276318943,0.038101202646698,0.042537799745542,0.032981624899541,0.050064547410278
124,0.392032312581901,0.4491132799583,0.393858466102529,0.448252364701102,6.93759263125891,10.8193903753853,7.00116110551786,11.0162342366015,0.247916290255454,0.287589436079682,0.250565495738514,0.283012188166605,0.038051345405545,0.044998029926417,0.033058803717726,0.05233070203826
125,0.391849595002838,0.44457822034509,0.394364012578704,0.442568515332034,6.47459303462895,10.1772189512406,6.67894534314217,10.1780739203464,0.24690554442136,0.284051007738837,0.250188055811108,0.278486922977027,0.03097737368688,0.036550425686321,0.026883831355864,0.042479725917224
126,0.387690779987093,0.440169768205368,0.390309068753029,0.437832510428493,6.57483307288569,9.94947511115481,6.66547677792202,9.70296739580305,0.252074141652254,0.289019602699189,0.254340520631937,0.285209293173736,0.032563229247214,0.040317308646906,0.029470622795003,0.04475566993267
127,0.395535405301503,0.447179530914093,0.399005993841715,0.443910502941875,6.9830586418064,11.0828204324638,7.23332293184828,10.9987245638169,0.256623763314787,0.29638808332895,0.259603245231226,0.2913467178052,0.033486715091571,0.037939327960216,0.029384749169209,0.043877049118565
128,0.398419454650186,0.448609310662053,0.401042944250886,0.447029872047498,7.02690848917572,11.0057619295981,7.19060635897548,10.850871532813,0.25335511868832,0.289849948655188,0.255729377127137,0.285877755103746,0.033711243940287,0.039901903727731,0.030975789925239,0.043820551867411
129,0.397382415389678,0.445919925195721,0.400632899773282,0.443071681635708,7.09351276496942,10.3769496191536,7.12686391370526,10.0632792694168,0.257631762908347,0.292867675940265,0.260810862567308,0.287619125180163,0.031043592022999,0.036636595145424,0.028573376695588,0.040127018955639
130,0.395053580861473,0.441704108002704,0.396931330950915,0.441278162134654,7.2245751589692,10.2470112016725,7.25447140942372,10.2004656798203,0.252622007646035,0.294705187908225,0.255428957881307,0.289934165186473,0.034894743185338,0.039854085567411,0.030969359126324,0.045497414582536
131,0.393507677909067,0.440515040550724,0.396426711415082,0.438422071009407,6.8545379641352,10.8965274256098,7.31004102983298,10.8965274256098,0.24767698645482,0.283871799843232,0.250339347437717,0.279436991688726,0.031121400113479,0.037727833128875,0.029029333828855,0.040667228320231
132,0.389594218476923,0.437010748500892,0.392161618113733,0.434684179302303,6.55709969797223,10.1609030325433,6.80512105200878,9.96733637082687,0.24953496092524,0.285550069267033,0.252033379417311,0.281361657703045,0.031617628867521,0.043023601941225,0.031253071136288,0.043391726724383
133,0.384610756368517,0.43224579075243,0.384905356201864,0.433757088576758,6.55062477233633,9.17318851677717,6.60170556241617,9.68055270168229,0.246637147406777,0.295601076853543,0.24955793266337,0.290564624477691,0.030581986599286,0.038983010451356,0.028704767179373,0.041544608532037
134,0.388289940792964,0.437901094102386,0.390407461750618,0.436334389687687,6.55370263624898,10.3597378185037,6.62747809911793,10.3063871331997,0.253857294665713,0.305429345715981,0.25593358636925,0.301779102583539,0.034078674324555,0.041347566084511,0.03234672056803,0.043794793566433
135,0.386706934915671,0.433747347388165,0.388001385318947,0.433517128657192,6.31643800447744,9.50044823157433,6.49350791027368,9.74179468464837,0.24365256086,0.291930664908655,0.246135182539017,0.287579555240289,0.033012182059117,0.040868390796966,0.031699641944682,0.04267329388401
136,0.388452501532235,0.436500020695125,0.390716423951093,0.434770030371864,6.52613723475415,9.3595777266116,6.54710210794148,9.1882478270571,0.253898404824811,0.301436306168309,0.256077854728484,0.297640419240311,0.032144251485523,0.037813744181543,0.030314196289513,0.040430313059744
137,0.383667659327486,0.428636458663792,0.385374567815476,0.426387188774729,6.44813998419293,10.2154130920969,6.46775509874797,10.2060563705162,0.236023417964565,0.283892364210877,0.238987625500456,0.278689663675513,0.02835491135051,0.03246284998517,0.026918551398479,0.034486554048477
138,0.385622130131292,0.427045489835099,0.387840848166072,0.426782327084545,6.56506646534404,9.53660496829122,6.78461136936198,9.56266235243933,0.241866202303281,0.287593575184699,0.243807882064518,0.284236136082549,0.028697162740686,0.032365253397354,0.028323423599757,0.032866663501047
139,0.388552767358906,0.429716644693626,0.39106417133715,0.42694262154908,6.53574156272147,10.243955291737,6.80919400508404,10.499861033721,0.24343780434292,0.298938078520503,0.24571350758021,0.294874108416416,0.025744189409809,0.026544279579048,0.025183883268434,0.027349061465191
140,0.384117270396481,0.429501807631545,0.386846846183587,0.426250827137608,6.46774106998999,9.61191835031991,6.84715726396699,9.45001368231575,0.238871170134934,0.284630528457361,0.241403567288547,0.280231579536634,0.029827525846792,0.03396207823844,0.027875761106742,0.03674590392318
141,0.389491564076157,0.431261390596656,0.39211892236777,0.429058786307367,6.74479532116521,9.12004105231799,7.03291944021913,9.17868475825667,0.255826460977991,0.315798763286888,0.259038557803528,0.310076446543146,0.028388205315564,0.031541033847562,0.026880927218242,0.033661267853864
142,0.391847809755511,0.438845304932082,0.394209534008547,0.437876284463411,6.40232057662476,9.06231607436649,6.67885406872065,9.10298866216988,0.257669769971199,0.322322014102935,0.26009916966806,0.317890502480402,0.031694782582242,0.033768475714904,0.029515329248095,0.036920834780336
143,0.389315511684682,0.432039788436623,0.390889371128929,0.431330588125298,6.01034452033235,8.80671936810858,6.05612434144617,8.83820283861726,0.245839587322747,0.289898800583862,0.247432863334011,0.287120128060871,0.042472678228783,0.047079167953709,0.038857368583148,0.052387400956646
144,0.387557360295987,0.429438216003339,0.388772946021129,0.429017548149016,6.04723488597276,8.9570429571503,6.07007477665921,9.0852710170675,0.243813237254285,0.28716295595114,0.245212182696429,0.28472039916556,0.038313252267564,0.048213503407329,0.035712135796185,0.051991678169707
145,0.382737501674302,0.427498311588986,0.385005741631739,0.42458842030638,5.86584557364264,8.76951269456425,6.11752406400322,8.69615565895506,0.2433827853385,0.300438606135944,0.245875071172103,0.295875011586291,0.030631967567137,0.032911239425827,0.026976590357521,0.038307241798865
146,0.385039825742545,0.42820023546663,0.386783864542141,0.426165642287749,5.96422788760484,8.84314048912456,6.19332847558497,8.83080974257596,0.248938215138656,0.31212353990336,0.25066019723756,0.308823968853754,0.032770789545528,0.03405302185193,0.029747714602691,0.038666238990766
147,0.386424107691052,0.42519332287883,0.387296263909115,0.424849857371482,6.00998730250786,8.48853581365276,6.07644847659498,8.49390753895507,0.258312168634385,0.331372470478594,0.259349531652953,0.329339198362311,0.033192296996768,0.037263286380714,0.031689930590097,0.039539239954909
148,0.383794285300887,0.42390621111814,0.384798831183173,0.423409511001156,5.97432841284686,8.99932138861617,6.1196807283803,8.9077239039438,0.259382690237492,0.328218744882329,0.260518534774653,0.326012234806446,0.032321477272016,0.039330875528566,0.030248717659171,0.042473667601373
149,0.384575667724006,0.432947391750024,0.386547487465789,0.430646141195246,6.02373791288983,10.2657735578427,6.39997704967957,10.1757652618363,0.262391941769524,0.348742358181757,0.264465499375063,0.344516480537943,0.031220637065677,0.032680771662089,0.028589655499472,0.036708102022236
150,0.384003160791405,0.420509006876779,0.384054291017767,0.424903596400125,6.05842453978782,9.83454038506218,6.19075235898261,10.3315304574772,0.27313137540695,0.363120801438776,0.274856810366063,0.359603054028239,0.037758526467279,0.035178076988424,0.033146282972994,0.042288511595409
151,0.390584270101209,0.437025180693817,0.390586407772288,0.441549861730327,6.77529548163245,10.697548252871,6.8533181621823,11.7206127467891,0.276924734987028,0.372634623219226,0.278806108031236,0.368695717242006,0.035492079507886,0.037257795267466,0.032391880368938,0.042070205635208
152,0.392242249600124,0.445873777118587,0.393389699785333,0.442947008528771,6.22721016805918,11.0643441482899,6.41530014434078,11.0643441482899,0.276466259136124,0.372902679863728,0.277549967086701,0.370582658513559,0.031960391067005,0.035562382308399,0.029022203963721,0.040218904287256
