period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
131,34826425.9534869,33383042.6563347,34968625.0417377,33516709.2225005,24732283.6955178,8650758.96081682,24865950.7298547,8650758.49264576,4780361.3184,4636950.478848,0,0,0,0,0,0
132,35431649.0997794,33963950.3868806,35574693.2187365,34098412.3530795,25114321.3291824,8849629.05769818,25248783.7731221,8849628.57995743,4887894.509568,4741257.67428096,5902646.9309495,5578070.38540959,5926487.70509824,5600483.51450096,814649.084928,790209.61238016
133,35104161.8972403,33650650.1853351,35244284.7895711,33782366.359963,24897547.1687464,8753103.01658872,25029263.8152146,8753102.54474836,4955158.097456,4806503.35453232,0,0,0,0,0,0
134,35772493.6063196,34293084.6481517,35914030.6330043,34426131.074435,25359940.5763272,8933144.0718245,25492987.4828096,8933143.59162538,5136507.596,4982412.36812,5955583.34320565,5627540.69428756,5979173.13509984,5649717.91447516,856084.599333333,830402.061353334
135,35443732.9075494,33978496.3275691,35583578.265547,34109952.5649999,25153306.2860639,8825190.04150519,25284762.9978139,8825189.56718606,5131396.11816,4977454.2346152,0,0,0,0,0,0
136,36146316.4168386,34652234.9964126,36286016.4403613,34783554.6483912,25656713.1937461,8995521.80266649,25788033.2653241,8995521.38306709,5334863.437304,5174817.53418488,6017014.99064059,5686048.44386861,6040298.61687793,5707937.88967429,889143.906217333,862469.589030813
137,35748975.3972541,34273212.3612721,35885291.6638016,34401352.2195221,25392087.6168567,8881124.74441536,25520227.7978704,8881124.42165166,5390237.10456,5228529.9914232,0,0,0,0,0,0
138,36445758.6462133,34941145.26752,36583564.131246,35070682.656392,25893733.0319607,9047412.23555933,26023270.7487611,9047411.9076309,5579464.563504,5412080.62659888,6065819.22904418,5732528.23203697,6088786.85118461,5754120.78310779,929910.760584,902013.43776648
139,36119911.7182837,34628395.6949751,36253805.943353,34754254.9466274,25644553.415202,8983842.27977315,25770412.9907673,8983841.95586016,5616861.49856,5448355.6536032,0,0,0,0,0,0
140,36838801.0528823,35319243.8122655,36972873.2534092,35445271.1445514,26151257.3989367,9167986.41332884,26277285.0629773,9167986.08157402,5785179.469056,5611624.08498432,6127816.87729629,5790892.50111479,6150162.14897818,5811900.74332863,964196.578176,935270.68083072
141,36411316.4934641,34910415.070951,36542064.0831567,35033316.1107102,25906733.8492592,9003681.22169175,26029635.0873728,9003681.02333743,5780288.18952,5606879.5438344,0,0,0,0,0,0
142,37047457.7247143,35521048.7809057,37179150.4943661,35644837.708781,26348184.139653,9172864.64125273,26471973.2689386,9172864.4398424,5975341.201152,5796080.96511744,6169438.90519536,5833322.8171975,6191387.29666261,5853958.00257586,995890.200192,966013.49418624
143,36677713.1351751,35166696.3295664,36806602.6581849,35287850.2338534,26088175.5950074,9078520.73455893,26209329.6910666,9078520.54278673,5952096.73332,5773533.8313204,0,0,0,0,0,0
144,37469116.7518011,35925755.219209,37596683.7754452,36045666.0404312,26583766.7350997,9341988.4841093,26703677.7512811,9341988.28915008,6138723.620088,5954561.91148536,6233048.93806069,5891739.19624351,6254309.72196535,5911728.34740596,1023120.603348,992426.98524756
145,37216622.7259987,35685703.2902536,37341798.7140055,35803366.6740785,26496252.9594699,9189450.33078367,26613916.5358462,9189450.13823231,6165532.4532,5980566.479604,0,0,0,0,0,0
146,37916823.744831,36358894.3270214,38042853.1733092,36477359.5868916,27018709.0359905,9340185.29103085,27137174.4916678,9340185.09522377,6402012.693592,6209952.31278424,6312353.3895033,5968941.35049719,6333357.8682037,5988689.82632417,1067002.11559867,1034992.05213071
147,37437867.8929586,35900295.2182931,37561108.6967139,36016135.2712677,26675575.9261108,9224719.29218222,26791416.1724949,9224719.09877277,6409804.37016,6217510.2390552,0,0,0,0,0,0
148,38225866.488853,36657020.2903754,38349089.5617448,36772842.5964343,27277972.558999,9379047.73137645,27393795.0682389,9379047.52819536,6591216.624608,6393480.12586976,6362859.65963855,6016917.84958778,6383395.52950714,6036226.30367392,1098536.10410133,1065580.02097829
149,37887139.1703713,36332494.4145643,38008096.2917896,36446186.681415,27060153.6942078,9272340.72035649,27173846.1617302,9272340.5196848,6556495.56296,6359800.6960712,0,0,0,0,0,0
150,38549974.6120017,36968749.0605158,38671123.3857797,37082621.3611252,27501306.2316635,9467442.82885232,27615178.6026474,9467442.75847782,6743696.299696,6541385.41070512,6413747.78793656,6064384.31224851,6433937.91215807,6083367.78420245,1123949.38328267,1090230.90178419
151,38115983.2062321,36554755.7288078,38232669.3265811,36664434.2521745,27237361.3276829,9317394.4011249,27347039.9205624,9317394.33161212,6738724.084256,6536562.36172832,0,0,0,0,0,0
152,39065367.170739,37463892.6022276,39182184.3568416,37573693.6891602,27922680.7140977,9541211.88812982,28032481.8717763,9541211.8173839,6910011.933048,6702711.57505656,6500124.20384588,6146612.21706877,6519592.48167081,6164915.65825367,1151668.655508,1117118.59584276
