Period,"Gini sedlac, all income","Gini sedlac, labour income","Gini sedlac, labour and pension income","Gini sedlac, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini sedlac, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini sedlac, measure IFE impact","Decile ratio, measure IFE impact","Top 10%, measure IFE impact","Bottom 10%, measure IFE impact"
71,0.41786101592185804,0.45738538377499288,0.40176522855206126,0.44150981284470836,8.331594982694202,12.801247355866881,9.229822586338415,10.13053327115261,0.23782967313476533,0.2911465599258615,0.26406153891526446,0.2718700945975029,0.026034235545934332,0.005688977913753728,0.007621394867875636,0.010523426254078788,0.48880211550992436,12.129173251765932,0.26729428374349984,0.028469509392559534,0.6005530984949734,12.129173251765932,0.2672946249203459,0.005222913222894178
72,0.46407876601333614,0.46053153041447764,0.40748014066740712,0.43892987025354097,21.271051949506347,12.38392839180588,8.88297977278002,9.354245504577628,0.24449053497852943,0.2894641826706211,0.26075387129461697,0.27063123642248554,0.00849052121547314,9.358336801718534e-05,0.00021618779434625857,0.0001852670937469787,0.55566676212334198,28.1115831616765,0.281951407356104,0.01244353581123326,0.59392758420206593,28.1115831616765,0.281951407356104,9.115449819777527e-05
73,0.45302386779064574,0.46313686644005192,0.4070904952676983,0.43476226624803765,20.59229258360555,12.245405404729764,8.911627869400629,8.7137817225499,0.24343324836368035,0.2899990345809102,0.2631779018348236,0.26585746004035105,0.008103240749120909,0.00026250567952365903,0.00042240071235030924,0.0002720815505394132,0.55002104945049035,27.192756531006744,0.28240224591535634,0.012005467401456563,0.58812809633629703,27.192756531006744,0.2824023038702754,0.00025562915677855634
74,0.44959213132017523,0.4648374230216113,0.40764305249890759,0.44240840690203243,20.448373199707955,11.491884915711767,8.541136751670441,9.04034367894334,0.24439184014996645,0.2897325341843539,0.260823586618481,0.27065506189713184,0.007235416789531926,5.64918258079295e-06,0.0001244843136917523,0.0001021611960995223,0.54105763028749565,20.980205605677973,0.2823912838917661,0.010529460197924051,0.57758454101369849,20.980205605677973,0.2823913130010957,5.506044016989749e-06
75,0.44701539504793969,0.45506102405414195,0.40284803332637603,0.43768929797900613,19.888224663766383,11.130947478301403,7.852094795869312,9.181249783695677,0.24641707579782124,0.2895710920173702,0.26135634809549013,0.27342318122792686,0.007612057657967198,0.0003526564373242318,0.0003389581820609158,0.0004213226592869747,0.53371526086161991,20.25341008382776,0.2822630866871468,0.01081597914240961,0.57024086603837199,20.25341008382776,0.2822630866871468,0.00034375632541821155
76,0.44728153901767048,0.45825858961061289,0.40340563736828117,0.43704128183750718,21.39501836931174,11.791555121564368,8.529353211403778,9.202732244439275,0.24056630515856603,0.2819492946115192,0.256662446746781,0.2632903849103879,0.007140090432575005,8.912237163022223e-05,0.00015706599810912114,0.00028181937113733776,0.53755465583177109,22.82825348350642,0.2749295538381973,0.01036038062246495,0.57318809401090332,22.82825348350642,0.2749295827953517,8.690348554973198e-05
77,0.44898944720560457,0.46256989746009208,0.40671313252792202,0.43668200159687492,21.41758396815353,11.443489438201263,8.169807936280213,8.72430277038001,0.24164534162963022,0.2865091082189819,0.2601247125221329,0.26465647659666713,0.007267022943771576,8.4819664592623e-05,6.52841627988815e-05,0.0003659689233743397,0.54327449889165869,23.43410650500686,0.27934361431785826,0.010481475276876744,0.57916082334413277,23.43410650500686,0.27934364350724367,8.269836270006542e-05
78,0.45146666092459292,0.46531612386268012,0.40791374973977484,0.44322216664831471,22.25629337727406,11.789587094526704,8.797250547979694,8.998453490547892,0.24435477164912725,0.28330660872546976,0.26084930982660104,0.26408161140761593,0.006691806330170297,0.0001228080122549047,8.374656820522871e-05,0.00023641933888721457,0.54557943350827021,24.035117838776316,0.27616501762404677,0.010050301158257658,0.58063853977882318,24.035117838776316,0.27616501762404677,0.00011971226870183797
79,0.45345815227649861,0.46293028369282296,0.40787033825732671,0.4440496945699145,22.37165280849586,11.626644800854445,8.331999351989102,9.409996147315494,0.2517846398687272,0.29634756760967657,0.26774327546617493,0.27796638972676907,0.0070161190039536815,0.0001824105975884831,0.00013301325195017345,0.00044409497774997925,0.5451511033744828,22.98216470852653,0.28919541463175713,0.010144934194366063,0.57948875239960429,22.98216470852653,0.28919541463175713,0.00017800823819248874
80,0.44781431111607922,0.46125304880871404,0.40252744249193467,0.43936496498838318,22.768567355520712,11.627607475593129,8.558240335830261,9.149251902856792,0.24062118311446049,0.27691937832599095,0.2562952454932932,0.25836349603538256,0.0064633313423232384,0.00013333489761784036,9.746732897842655e-05,0.00014361987193814497,0.54179051230144026,22.6014182214095,0.2705682115009433,0.009810994093109026,0.5754700279920768,22.6014182214095,0.27056827074210804,0.00013027688021011662
